Ra	Dec	g	r	i	z	y

173.40834863	0.73045037	19.96	18.89	18.26	17.99	17.81
173.42443313	0.70421959	15.02	14.56	14.37	14.33	14.27
173.42309347	0.71527184	16.20	15.89	15.77	15.77	15.74
173.40446437	0.73524988	18.28	17.41	17.01	16.83	16.69
173.42048603	0.74179278	18.72	17.77	17.37	17.21	17.10
173.40427190	0.73427648	17.39	17.03	16.89	16.86	16.83
173.40927711	0.75963342	18.27	18.05	17.93	17.95	17.92
173.44684401	0.73413436	20.15	18.99	17.56	16.91	16.60
173.44963386	0.75931194	19.31	18.01	16.54	15.88	15.55
173.39842218	0.70627516	14.59	14.13	13.97	13.93	13.88
173.45149132	0.75319279	21.85	20.76	19.56	18.96	18.73
173.44816206	0.73954394	20.38	19.23	18.05	17.53	17.26
173.43353287	0.76375629	18.23	17.70	17.51	17.44	17.38
173.39019518	0.73202057	21.36	20.15	18.88	18.32	18.01
173.39995500	0.72033373	19.73	19.22	19.01	18.97	18.90
173.42267571	0.76962921	17.54	17.09	16.87	16.83	16.77
173.43809066	0.75549916	21.77	20.59	19.61	19.16	18.88
173.46247053	0.73460638	18.46	18.04	17.85	17.78	17.70
173.46566984	0.73693925	21.12	19.94	19.18	18.81	18.59
173.41013676	0.74487612	17.62	17.28	17.15	17.14	17.10
173.39045865	0.72925939	20.25	19.08	17.96	17.45	17.22
173.46599263	0.70983316	21.14	20.00	19.00	18.52	18.28
173.37737642	0.72911959	19.50	18.50	18.01	17.81	17.66
173.46543499	0.70262548	18.65	17.46	16.28	15.76	15.49
173.42741361	0.74359658	19.85	19.53	19.43	19.38	19.36
173.44285966	0.71939697	20.31	19.11	17.88	17.33	17.05
173.39510218	0.73967812	16.31	15.95	15.82	15.82	15.79
173.38293067	0.72545367	20.43	19.28	18.60	18.30	18.15
173.38650184	0.69975854	21.31	20.11	18.84	18.29	18.02
173.45023323	0.72905297	20.92	20.58	20.47	20.36	19.76
173.39124459	0.71189446	21.66	21.63	20.40	19.90	19.68
173.45690257	0.69663088	21.96	20.79	19.68	19.18	18.91
